I,Q
-0.718902,0.782031
-0.611851,0.771992
-0.691087,-0.815755
-0.787687,0.647764
0.679507,0.752385
-0.739398,-0.735476
-0.695466,-0.673138
-0.673103,-0.807124
-0.718016,-0.710456
-0.697746,-0.603139
-0.729792,0.599529
